Periodo,Inflación mensual,Inflación subyacente,Inflación subyacente - mercancias,Inflación subyacente - servicios,Inflación no subyacente,Inflación no subyacente - agropecuarios,Inflación no subyacente - energéticos y tarifas autorizadas por el gobierno  ,Inflación mensual interanual,Inflación subyacente interanual,Inflación subyacente - mercancias interanual,Inflación subyacente - servicios interanual,Inflación no subyacente interanual,Inflación no subyacente - agropecuarios interanual,Inflación no subyacente - energéticos y tarifas autorizadas por el gobierno interanual,Inflación mensual acumulada,Inflación subyacente acumulada,Inflación subyacente - mercancias acumulada,Inflación subyacente - servicios acumulada,Inflación no subyacenteacumulada,Inflación no subyacente - agropecuarios acumulada,Inflación no subyacente - energéticos y tarifas autorizadas por el gobierno acumulada
2013/10,0.48,0.19,0.11,0.26,1.41,-0.72,2.74,3.36,2.48,2.41,2.54,6.18,1.67,9.07,2.43,2.3,1.55,2.95,2.77,1.74,3.48
2013/11,0.93,0.14,-0.02,0.27,3.54,2.97,3.88,3.62,2.56,1.99,3.06,7.02,5.53,8.01,3.38,2.44,1.53,3.23,6.4,4.76,7.49
2013/12,0.57,0.33,0.36,0.3,1.35,1.82,1.07,3.97,2.78,1.89,3.54,7.84,6.67,8.65,3.97,2.78,1.89,3.54,7.84,6.67,8.65
2014/01,0.89,0.85,1.26,0.51,1.02,-0.67,2.04,4.48,3.21,2.93,3.47,8.58,6.21,10.13,0.89,0.85,1.26,0.51,1.02,-0.67,2.04
2014/02,0.25,0.28,0.13,0.41,0.17,-0.71,0.68,4.23,2.98,2.91,3.05,8.28,5.43,10.12,1.15,1.14,1.39,0.92,1.19,-1.38,2.73
2014/03,0.27,0.21,0.18,0.24,0.46,0.71,0.31,3.76,2.89,2.88,2.9,6.54,1.49,9.73,1.43,1.35,1.58,1.17,1.65,-0.67,3.05
2014/04,-0.19,0.29,0.23,0.34,-1.67,-1.12,-2,3.5,3.11,2.97,3.23,4.75,-1.13,8.52,1.24,1.65,1.81,1.51,-0.05,-1.79,0.99
2014/05,-0.32,0.09,0.28,-0.06,-1.64,0.79,-3.06,3.51,3,3.08,2.94,5.19,0.67,8.14,0.91,1.74,2.09,1.45,-1.69,-1.01,-2.09
2014/06,0.17,0.21,0.17,0.25,0.04,-0.4,0.32,3.75,3.09,3.24,2.96,5.96,3.37,7.59,1.09,1.96,2.27,1.7,-1.64,-1.41,-1.78
2014/07,0.28,0.19,-0.04,0.38,0.56,0.78,0.42,4.07,3.25,3.37,3.15,6.83,5.78,7.47,1.37,2.15,2.23,2.09,-1.09,-0.64,-1.37
