Periodo,Indice general,Indice subyacente,Indice subyacente - Mercancias,Indice subyacente - Servicios,Indice no subyacente,Indice no subyacente - Agropecuarios,Indice no subyacente - Energéticos y tarifas autorizadas por el gobierno  
1993/04,13.2354804,14.52630051,13.16236021,15.96220455,9.846318691,11.27673135,8.696478324
1993/05,13.31113749,14.59082157,13.21510729,16.04111481,9.944165039,11.43537238,8.740183975
1993/06,13.38579712,14.65334083,13.26134611,16.12440515,10.04330353,11.56312899,8.814709126
1993/07,13.45012344,14.71408089,13.28685351,16.23253837,10.1132961,11.64437646,8.875531455
1993/08,13.52211219,14.80893414,13.37731562,16.33043932,10.13128158,11.61760071,8.93485893
1993/09,13.62226067,14.92661,13.42949144,16.53606667,10.18837391,11.67621686,8.99149241
1993/10,13.67797303,15.01512385,13.49255431,16.65735374,10.16839706,11.543056,9.074977692
1993/11,13.73830236,15.06983265,13.53544678,16.7268325,10.23910483,11.57340198,9.183859821
1993/12,13.8430549,15.12623154,13.5488133,16.84169895,10.44848945,11.92730787,9.2641594
1994/01,13.95037498,15.22565783,13.6152044,16.98417119,10.56953958,12.07717678,9.360772383
1994/02,14.02212406,15.35367916,13.72702646,17.13070427,10.512321,11.84321055,9.464692021
1994/03,14.09422476,15.46654837,13.84417982,17.23387162,10.49024322,11.67588186,9.575447411
1994/04,14.1632513,15.5636944,13.92982858,17.34395034,10.49359497,11.65043489,9.605262893
1994/05,14.23168224,15.65291203,14.01956673,17.42951603,10.51282785,11.68301503,9.612572395
1994/06,14.30289457,15.73488649,14.10716141,17.50092795,10.55723918,11.73663396,9.649270334
1994/07,14.36632677,15.79002445,14.14039326,17.58496381,10.63692412,11.8867339,9.665694142
1994/08,14.43328665,15.86927757,14.23001517,17.64708787,10.67380271,11.93130906,9.69612115
1994/09,14.53593664,15.99804689,14.3215531,17.82382345,10.7140317,11.98368626,9.725871435
1994/10,14.6122453,16.07944217,14.41366394,17.88753343,10.77608595,12.01003975,9.821683601
1994/11,14.69036086,16.16266298,14.49181166,17.97513882,10.83984367,12.1079515,9.855169919
1994/12,14.81920437,16.28816451,14.59503824,18.12775045,10.97140684,12.28822935,9.944224094
1995/01,15.37699094,16.89032683,15.23738095,18.65387094,11.40884948,12.85529097,10.26999611
1995/02,16.02870735,17.66232098,16.09057822,19.28676212,11.76640981,13.43479508,10.42991018
1995/03,16.9736172,18.49777453,16.98656825,20.03429806,12.84649018,13.97375437,11.94020054
1995/04,18.32613326,19.89987335,18.51700601,21.25618238,14.01373091,14.67626878,13.47675482
1995/05,19.09209019,20.88286457,19.74383491,21.9248894,14.29654113,15.33331328,13.46134856
1995/06,19.69802427,21.59523855,20.61258158,22.43434223,14.65109661,16.00186501,13.56561121
1995/07,20.09958836,22.04632091,21.11733596,22.81232063,14.92775786,16.44589043,13.70880456
